site_no,Year,UNIT_NAME
USGS-260728080205002,2000,Miami Limestone
USGS-261541080112701,2000,Miami Limestone
USGS-271841098402801,2000,Sand sheet deposits
USGS-282608099455301,2000,Bigford Formation
USGS-282838080572402,2000,Shelly sediments of Plio-Pleistocene age
USGS-282912081181201,2000,Undifferentiated sediments
USGS-283813081292601,2000,Cypresshead Formation
USGS-284256097125001,2000,Lissie Formation
USGS-284431097071801,2000,Lissie Formation
USGS-284604081330301,2000,Cypresshead Formation
USGS-284713097493901,2000,Fleming Formation
USGS-285657100373801,2000,Terrace deposits
USGS-290819103312601,2000,Alluvium
USGS-291911103124301,2000,Alluvial fan deposits
USGS-292628099401401,2000,Devils River Limestone
USGS-292842098425001,2000,Austin Chalk
USGS-293037099430301,2000,Glen Rose Limestone
USGS-293130098573801,2000,Edwards Limestone
USGS-293314095474702,2000,"Beaumont Formation, areas predominantly clay"
USGS-293404098382001,2000,"Buda Limestone and Del Rio Clay, undivided"
USGS-293450099433701,2000,"Quaternary deposit, undivided"
USGS-293516098325501,2000,Edwards Limestone
USGS-293535098304101,2000,Edwards Limestone
USGS-293643098264001,2000,Edwards Limestone
USGS-293644099314601,2000,"Quaternary deposit, undivided"
USGS-294528097464401,2000,Alluvium
USGS-294739098075301,2000,Edwards Limestone
USGS-294903096061401,2000,Alluvium
USGS-295137097585801,2000,"Buda Limestone and Del Rio Clay, undivided"
USGS-295520098242301,2000,Glen Rose Limestone
USGS-295528098222301,2000,Hensell Sand
USGS-295531092132001,2000,Prairie Terraces
USGS-295640092144801,2000,Prairie Terraces
USGS-295932092284401,2000,Prairie Terraces
USGS-300111093101601,2000,Prairie Terraces
USGS-300121092005701,2000,Prairie Terraces
USGS-300149095045001,2000,"Beaumont Formation, areas predominantly sand"
USGS-300216093042301,2000,Prairie Terraces
USGS-300259096195001,2000,Willis Formation
USGS-300614092233001,2000,Prairie Terraces
USGS-300626092462901,2000,Prairie Terraces
USGS-300627092464302,2000,Prairie Terraces
USGS-300659092352901,2000,Prairie Terraces
USGS-300718092125801,2000,Prairie Terraces
USGS-300816093280501,2000,Prairie Terraces
USGS-300824096152400,2000,Fleming Formation
USGS-300825092350001,2000,Prairie Terraces
USGS-300906093585201,2000,"Beaumont Formation, areas predominantly sand"
USGS-301003092561301,2000,Prairie Terraces
USGS-301009092554501,2000,Prairie Terraces
USGS-301042092211101,2000,Prairie Terraces
USGS-301305097314601,2000,Terrace deposits
USGS-301357098471901,2000,Hensell Sand
USGS-301411098383101,2000,Hensell Sand
USGS-301430098363401,2000,Hensell Sand
USGS-301444092211501,2000,Prairie Terraces
USGS-301446092542801,2000,Prairie Terraces
USGS-301451092541401,2000,Prairie Terraces
USGS-301525092425701,2000,Prairie Terraces
USGS-301538092021301,2000,Prairie Terraces
USGS-301545098502801,2000,Hensell Sand
USGS-301633098252901,2000,Glen Rose Limestone
USGS-301707093223202,2000,Prairie Terraces
USGS-301737093010301,2000,Prairie Terraces
USGS-301906092272401,2000,Prairie Terraces
USGS-301923098225401,2000,Tanyard Formation
USGS-301947092320101,2000,Alluvium
USGS-302108093405103,2000,Intermediate Terraces
USGS-302109092523101,2000,Prairie Terraces
USGS-302132092234401,2000,Prairie Terraces
USGS-302145092212501,2000,Prairie Terraces
USGS-302220092570201,2000,Prairie Terraces
USGS-302246092400101,2000,Prairie Terraces
USGS-302306098050701,2000,Hensell Sand
USGS-302448092510501,2000,Prairie Terraces
USGS-302701095331201,2000,Fleming Formation
USGS-302723093144201,2000,Intermediate Terraces
USGS-302821092171001,2000,Prairie Terraces
USGS-302927092490001,2000,Prairie Terraces
USGS-302952092325501,2000,Prairie Terraces
USGS-303001098485201,2000,Packsaddle Schist
USGS-303112092034001,2000,Prairie Terraces
USGS-303117097421301,2000,"Edwards and Comanche Peak Limestones, undivided"
USGS-303127092404801,2000,Prairie Terraces
USGS-303153093303201,2000,Intermediate Terraces
USGS-303237092105501,2000,Prairie Terraces
USGS-303548098211701,2000,Town Mountain Granite
USGS-303550092252401,2000,Prairie Terraces
USGS-303616092331801,2000,Alluvium
USGS-303626093161201,2000,Alluvium
USGS-303647092573301,2000,Alluvium
USGS-303741092213901,2000,Prairie Terraces
USGS-303809097404701,2000,"Del Rio Clay and Georgetown Limestone, undivided"
USGS-303839092435101,2000,Prairie Terraces
USGS-303859097400901,2000,"Quaternary deposit, undivided"
USGS-304121092293301,2000,Prairie Terraces
USGS-304121098224201,2000,Honeycut Formation
USGS-304125098224001,2000,Town Mountain Granite
USGS-304128092450401,2000,Intermediate Terraces
USGS-304131101492401,2000,"Quaternary deposit, undivided"
USGS-304140093343502,2000,Deweyville Terrace
USGS-304151097390301,2000,"Quaternary deposit, undivided"
USGS-304251095060001,2000,water
USGS-304323098421701,2000,Packsaddle Schist
USGS-304406098130801,2000,Hensell Sand
USGS-304409093171801,2000,Intermediate Terraces
USGS-304857092363601,2000,Alluvium
USGS-304927098211201,2000,"Riley Formation showing Lion Mountain Sandstone and Cap Mountain Limestone Members, undivided"
USGS-304939098202401,2000,"Riley Formation showing Lion Mountain Sandstone and Cap Mountain Limestone Members, undivided"
USGS-305020093003001,2000,Intermediate Terraces
USGS-305502103504101,2000,Alluvial fan deposits
USGS-305624097321101,2000,"Edwards and Comanche Peak Limestones, undivided"
USGS-305718097314401,2000,Georgetown Limestone
USGS-305723102015801,2000,Edwards Limestone
USGS-305810093034001,2000,High Terraces
USGS-305949092363001,2000,Intermediate Terraces
USGS-310238098104001,2000,Travis Peak Formation
USGS-310813084482901,2000,Ocala Limestone
USGS-310956096402901,2000,Hooper Formation
USGS-311015084511901,2000,Ocala Limestone
USGS-311202099321401,2000,Antlers Sand
USGS-311327084484101,2000,Ocala Limestone
USGS-311422100490201,2000,Alluvium
USGS-311442084480001,2000,Ocala Limestone
USGS-312003100370101,2000,"Quaternary deposit, undivided"
USGS-312025083401101,2000,Miccosukee Formation
USGS-312041103174201,2000,Older alluvial deposits
USGS-312109083340301,2000,Miccosukee Formation
USGS-312356083462001,2000,Neogene undifferentiated
USGS-312625083351601,2000,Neogene undifferentiated
USGS-312625083352201,2000,Neogene undifferentiated
USGS-312648106044701,2000,Sand sheet deposits
USGS-312656101265101,2000,Edwards Limestone
USGS-312715102402201,2000,"Sand deposits, undivided"
USGS-312745097083301,2000,Ozan Formation
USGS-312758083232401,2000,Neogene undifferentiated
USGS-312848103012901,2000,Sand sheet deposits
USGS-312908084151901,2000,Ocala Limestone
USGS-313110094131201,2000,Sparta Sand
USGS-313122083110901,2000,Neogene undifferentiated
USGS-313122083325101,2000,Neogene undifferentiated
USGS-313209083464801,2000,Neogene undifferentiated
USGS-313252103010301,2000,Sand sheet deposits
USGS-313440084181403,2000,Ocala Limestone
USGS-313551100110801,2000,Lingos Formation
USGS-313630083385001,2000,Neogene undifferentiated
USGS-313638100400201,2000,Alluvium
USGS-313841083155401,2000,Neogene undifferentiated
USGS-313943100425301,2000,Ogallala Formation
USGS-313950083425401,2000,Neogene undifferentiated
USGS-314107106063301,2000,Sand sheet deposits
USGS-314123083391301,2000,Neogene undifferentiated
USGS-314145106163601,2000,Older alluvial deposits
USGS-315009083571001,2000,Ocala Limestone
USGS-315033100584001,2000,"Quaternary deposit, undivided"
USGS-315042103054301,2000,Sand sheet deposits
USGS-315105098241401,2000,Twin Mountains Formation
USGS-315245102240201,2000,Blackwater Draw Formation
USGS-315517106361401,2000,Alluvium
USGS-315623106360601,2000,Sand sheet deposits
USGS-315643102131101,2000,Blackwater Draw Formation
USGS-315702102075401,2000,Blackwater Draw Formation
USGS-315708106362301,2000,Alluvium
USGS-315757106370201,2000,Alluvium
USGS-315849098552101,2000,Twin Mountains Formation
