site_no,Year,ROCK_NAME,ROCK_TYPE,AQ_NAME,AQ_CODE
USGS-260728080205002,2000,Carbonate-rock aquifers,400,Biscayne aquifer,414
USGS-261541080112701,2000,Carbonate-rock aquifers,400,Biscayne aquifer,414
USGS-271841098402801,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-282608099455301,2000,Semiconsolidated sand aquifers,200,Texas coastal uplands aquifer system,202
USGS-282838080572402,2000,Unconsolidated sand and gravel aquifers,100,Surficial aquifer system,111
USGS-282912081181201,2000,Unconsolidated sand and gravel aquifers,100,Surficial aquifer system,111
USGS-283813081292601,2000,NA,999,Other rocks,999
USGS-284256097125001,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-284431097071801,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-284604081330301,2000,NA,999,Other rocks,999
USGS-284713097493901,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-285657100373801,2000,NA,999,Other rocks,999
USGS-290819103312601,2000,NA,999,Other rocks,999
USGS-291911103124301,2000,NA,999,Other rocks,999
USGS-292628099401401,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-292842098425001,2000,NA,999,Other rocks,999
USGS-293037099430301,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-293130098573801,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-293314095474702,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-293404098382001,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-293450099433701,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-293516098325501,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-293535098304101,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-293643098264001,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-293644099314601,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-294528097464401,2000,NA,999,Other rocks,999
USGS-294739098075301,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-294903096061401,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-295137097585801,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-295520098242301,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-295528098222301,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-295531092132001,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-295640092144801,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-295932092284401,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300111093101601,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300121092005701,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300149095045001,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300216093042301,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300259096195001,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300614092233001,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300626092462901,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300627092464302,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300659092352901,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300718092125801,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300816093280501,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300824096152400,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300825092350001,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-300906093585201,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301003092561301,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301009092554501,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301042092211101,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301305097314601,2000,NA,999,Other rocks,999
USGS-301357098471901,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-301411098383101,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-301430098363401,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-301444092211501,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301446092542801,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301451092541401,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301525092425701,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301538092021301,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301545098502801,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-301633098252901,2000,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501
USGS-301707093223202,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301737093010301,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301906092272401,2000,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201
USGS-301923098225401,2000,NA,999,Other rocks,999
