"huc8","combined"
"01070003","Other rocks"
"01070001","Other rocks"
"01080207","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Early Mesozoic basin aquifers"")"
"01080205","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"01080201","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"01080204","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"01080206","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"01080103","Other rocks"
"01080107","Other rocks"
"01080104","Other rocks"
"01080106","Other rocks"
"01080105","Other rocks"
"01080102","Other rocks"
"01080202","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"01080203","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Early Mesozoic basin aquifers"")"
"01100004","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"01100003","Other rocks"
"01100001","Other rocks"
"01100002","Other rocks"
"01100005","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Other rocks"", ""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", 
""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"01100006","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"02020002","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"02020007","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""Piedmont and Blue Ridge crystalline-rock aquifers"")"
"02020003","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""New York sandstone aquifers"", ""New York and New England carbonate-rock aquifers"")"
"02020004","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York sandstone aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"02020001","Other rocks"
"02020008","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", 
""New York and New England carbonate-rock aquifers"")"
"02020006","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York sandstone aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"02020005","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"02030203","c(""Other rocks"", ""Early Mesozoic basin aquifers"", ""Other rocks"", ""Other rocks"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02030104","c(""Early Mesozoic basin aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Early Mesozoic basin aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02030202","c(""Other rocks"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02030201","c(""Other rocks"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02030103","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"")"
"02030101","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Early Mesozoic basin aquifers"", 
""New York and New England carbonate-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Other rocks"")"
"02030102","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Other rocks"")"
"02030105","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02040304","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", 
""Other rocks"", ""Other rocks"", ""Other rocks"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", 
""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", 
""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02040206","c(""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"")"
"02040204","c(""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"")"
"02040301","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", 
""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02040104","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Valley and Ridge aquifers"")"
"02040201","c(""Early Mesozoic basin aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"")"
"02040102","Other rocks"
"02040303","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02040302","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02040207","Northern Atlantic Coastal Plain aquifer system"
"02040202","c(""Early Mesozoic basin aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"")"
"02040203","c(""Valley and Ridge aquifers"", ""Early Mesozoic basin aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"")"
"02040205","c(""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"")"
"02040106","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"")"
"02040103","c(""Other rocks"", ""Valley and Ridge aquifers"")"
"02040101","Other rocks"
"02040105","c(""New York and New England carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""New York and New England carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", 
""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"")"
"02050306","c(""Early Mesozoic basin aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"")"
"02050106","c(""Other rocks"", ""Mississippian aquifers"", ""Valley and Ridge aquifers"", ""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Mississippian aquifers"")"
"02050201","c(""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"")"
"02050202","c(""Other rocks"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"")"
"02050203","c(""Other rocks"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Valley and Ridge aquifers"", ""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Valley and Ridge carbonate-rock aquifers"")"
"02050204","c(""Mississippian aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"")"
"02050205","c(""Other rocks"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Valley and Ridge aquifers"", ""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Mississippian aquifers"", ""Valley and Ridge carbonate-rock aquifers"")"
"02050206","c(""Other rocks"", ""Mississippian aquifers"", ""Valley and Ridge aquifers"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"", ""Mississippian aquifers"", ""Other rocks"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"")"
"02050303","c(""Mississippian aquifers"", ""Valley and Ridge aquifers"", ""Pennsylvanian aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Mississippian aquifers"", ""Other rocks"")"
"02050304","c(""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"")"
"02050305","c(""Valley and Ridge aquifers"", ""Early Mesozoic basin aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"")"
"02050103","Other rocks"
"02050105","Other rocks"
"02050104","c(""Other rocks"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Mississippian aquifers"", ""Pennsylvanian aquifers"", ""Pennsylvanian aquifers"")"
"02050302","c(""Mississippian aquifers"", ""Valley and Ridge aquifers"", ""Pennsylvanian aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"")"
"02050102","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York sandstone aquifers"", ""New York and New England carbonate-rock aquifers"")"
"02050101","c(""Other rocks"", ""New York sandstone aquifers"", ""New York and New England carbonate-rock aquifers"")"
"02050301","c(""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"")"
"02050107","c(""Other rocks"", ""Valley and Ridge aquifers"", ""Mississippian aquifers"", ""Other rocks"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"")"
"02060006","c(""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"")"
"02060001","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02060003","c(""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02060004","Northern Atlantic Coastal Plain aquifer system"
"02060005","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", 
""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02060002","c(""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02070008","c(""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Early Mesozoic basin aquifers"")"
"02070010","c(""Northern Atlantic Coastal Plain aquifer system"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02070009","c(""Early Mesozoic basin aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge carbonate-rock aquifers"", ""Early Mesozoic basin aquifers"")"
"02070001","c(""Valley and Ridge aquifers"", ""Mississippian aquifers"", ""Other rocks"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"")"
"02070005","c(""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"")"
"02070002","c(""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Mississippian aquifers"", ""Other rocks"", ""Pennsylvanian aquifers"", ""Other rocks"")"
"02070007","c(""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"")"
