"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Rye","Oats","Millet","Alfalfa","Other Hay/Non Alfalfa","Dry Beans","Potatoes","Peas","Clover/Wildflowers","Fallow/Idle Cropland","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Blueberries","Christmas Trees","Broccoli","Sweet Corn","Canola","Other Crops","Apples","Pumpkins","HUC","Sod/Grass Seed","Squash","Triticale","Winter Wheat","Cantaloupes","Sorghum","Sunflower","Tobacco","Strawberries","Cranberries","Misc Vegs & Fruits","Nectarines","Durum Wheat","Speltz","Tomatoes","Peaches","Peppers","Asparagus","Onions","Grapes","Other Tree Crops","Cabbage","Eggplants","Greens","Lettuce","Cherries","Dbl Crop WinWht/Soybeans","Sweet Potatoes","Herbs","Plums","Dbl Crop Barley/Corn","Radishes","Dbl Crop Barley/Soybeans","Switchgrass","Pop or Orn Corn","Dbl Crop Oats/Corn","Turnips","Watermelons","Carrots","Dbl Crop WinWht/Corn","Dbl Crop WinWht/Sorghum","Cotton","Sugarbeets","Dbl Crop Soybeans/Oats","Dbl Crop Barley/Sorghum","Dbl Crop Corn/Soybeans","Vetch","Gourds","Peanuts","Forest","Wetlands","Aquaculture","Dbl Crop WinWht/Cotton","Dbl Crop Soybeans/Cotton","Pecans","Rice","Safflower","Walnuts","Sugarcane","Citrus","Oranges","Flaxseed","Camelina","Mint","Celery","Prunes","Cauliflower","Garlic","Mustard","Lentils","Rape Seed","Perennial Ice/Snow ","Other Small Grains","Honeydew Melons","Pistachios","Olives","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Cotton","Pomegranates","Dbl Crop Durum Wht/Sorghum","Apricots","Caneberries","Hops","Pears","Cucumbers","Almonds"
1,1,4107821,258,108,643,9,122,16467,2,10,35462,1,16080,1,4661,110,10958,7769,4853,2109,559,44,94399,58011,168996,13855,35659,43800,886,3,0,0,0,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,7,5,321,19,216,204,0,9,2999,0,632,0,132,0,2,801,81,5,5,0,3341,6853,19354,1707,4134,11372,22,16,3,27,0,0,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,640,298,35463,918,73037,83065,0,328,160832,1,160316,0,15462,263,114693,53111,34104,9870,6498,5705,849266,1538057,2649498,429873,133076,523857,9042,493,23,17752,4,4459,0,0,0,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,358,15,7175,2354,1394,13000,0,5,9346,0,40390,0,2519,16,9874,22480,9808,2514,1138,385,163562,138845,499413,41123,112061,141105,1739,1786,18,344,0,9,0,0,0,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,89,0,792,10,9,3911,2,9,22285,0,5052,17,93,92,25546,7441,4454,2244,860,1413,247514,165795,462760,44868,25876,39007,1589,1,3,2,0,0,2,0,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,12,273,20456,1336,13305,10300,0,1436,25192,0,45794,0,4285,1,3104,11897,4727,911,371,156,91669,36474,142006,8125,61223,62083,639,736,0,4443,0,204,0,1,0,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,64,0,0,0,0,26,0,87,465,0,0,0,62,25,17988,2979,758,96,13,5737,325196,572632,401521,445215,162,137963,6009,0,0,0,3,0,0,0,0,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,37,0,6,0,1,37,0,2,1755,0,36,0,12,5,143541,1825,133,15,0,5952,622282,840568,1327900,488373,458,113970,6784,12,8,0,0,0,0,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,218,0,2491,124,89,18315,148,23,74567,0,24929,65,1303,849,157631,11867,5688,1498,374,2000,435233,459525,1006461,137619,77242,140281,3648,64,19,0,0,63,57,0,0,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,45,0,2,0,3,76,2,76,2031,0,105,0,8,0,25129,326,159,27,0,7916,420236,925724,745462,351569,1119,173421,6868,0,0,0,0,0,1,0,2,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
