"layer","zone","Background","Soybeans","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Alfalfa","Other Hay/Non Alfalfa","Sugarbeets","Potatoes","Other Crops","Clover/Wildflowers","Fallow/Idle Cropland","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Corn","Blueberries","Speltz","Cranberries","Squash","HUC","Sweet Corn","Pumpkins","Apples","Millet","Dry Beans","Sod/Grass Seed","Christmas Trees","Tobacco","Other Small Grains","Grapes","Misc Vegs & Fruits","Peppers","Strawberries","Sunflower","Other Tree Crops","Tomatoes","Herbs","Sorghum","Asparagus","Cabbage","Eggplants","Peaches","Dbl Crop Lettuce/Barley","Onions","Peas","Gourds","Cherries","Dbl Crop WinWht/Soybeans","Vetch","Dbl Crop Oats/Corn","Triticale","Carrots","Plums","Apricots","Nectarines","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Soybeans","Sweet Potatoes","Cantaloupes","Lettuce","Dbl Crop Barley/Corn","Cotton","Peanuts","Dbl Crop WinWht/Corn","Dbl Crop Soybeans/Oats","Watermelons","Greens","Dbl Crop Barley/Sorghum","Turnips","Dbl Crop Corn/Soybeans","Switchgrass","Pop or Orn Corn","Walnuts","Durum Wheat","Pecans","Aquaculture","Dbl Crop WinWht/Cotton","Dbl Crop Soybeans/Cotton","Honeydew Melons","Oranges","Camelina","Rice","Sugarcane","Citrus","Mustard","Celery","Radishes","Prunes","Mint","Flaxseed","Safflower","Lentils","Perennial Ice/Snow ","Pistachios","Rape Seed","Olives","Dbl Crop Durum Wht/Sorghum","Dbl Crop Lettuce/Cotton","Hops","Garlic","Almonds","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cantaloupe","Cauliflower","Pears","Caneberries","Cucumbers","Pomegranates"
1,1,4107821,8,1890,135,41,1218,10278,3,12,667,72,18177,2,2603,53,11641,9149,4928,2453,336,311,91184,65066,167596,21140,60802,44117,1780,173,0,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,4,142,46,0,152,508,0,51,1696,0,509,24,129,0,0,875,139,7,0,9,3654,6595,19911,1922,4559,11160,122,1,46,6,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,2644,39681,2360,1469,42749,64647,303,57,2420,16,154176,540,7492,127,117694,55613,33768,13243,4992,7748,845610,1461406,2710133,446547,330002,531658,15334,17477,40,51,4,3,0,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,533,8055,1407,73,4721,19134,5,538,9898,0,30955,1058,1671,1,10257,27445,9828,3076,898,803,178166,135248,492839,42529,92584,144877,4459,119,1292,307,0,0,0,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,0,73,2,2,75,2411,136,2,243,0,5771,0,279,100,27226,8832,5748,2577,618,1183,251680,178102,450218,48465,38881,36025,2976,104,3,4,0,0,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,484,22980,605,71,8207,11902,38,569,2780,4,42267,531,969,1,2910,13071,5108,1385,146,360,86242,38433,149583,12539,82654,60675,2606,3617,150,272,0,0,0,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,2,10,0,0,0,0,0,0,44,0,0,0,0,0,18161,3222,936,82,17,4433,344971,555042,409294,453965,0,120539,6248,0,20,2,5,0,8,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,0,8,0,1,7,12,0,0,86,0,55,0,4,54,145444,2019,207,31,0,5485,647872,801029,1310350,518837,4167,109253,8769,1,2,19,0,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,2,488,0,10,231,17558,0,55,3115,0,23566,0,2665,256,159122,14004,7879,1994,196,1304,456979,457358,991819,142637,134067,141435,5522,101,7,20,1,0,0,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,0,1,0,2,2,7,0,4,49,0,23,0,8,6,26033,308,218,16,0,4770,407173,927225,773660,359621,1485,151714,7922,0,46,14,0,0,0,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
