"layer","zone","Background","Corn","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Alfalfa","Other Hay/Non Alfalfa","Potatoes","Clover/Wildflowers","Fallow/Idle Cropland","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Blueberries","Soybeans","Buckwheat","Christmas Trees","Canola","Millet","Peas","HUC","Sweet Corn","Sorghum","Other Crops","Misc Vegs & Fruits","Sod/Grass Seed","Apples","Dry Beans","Pumpkins","Other Tree Crops","Cranberries","Squash","Dbl Crop Corn/Soybeans","Sunflower","Tobacco","Peppers","Turnips","Durum Wheat","Cucumbers","Tomatoes","Peaches","Grapes","Pears","Eggplants","Onions","Greens","Cabbage","Herbs","Carrots","Asparagus","Strawberries","Speltz","Cherries","Triticale","Nectarines","Plums","Pop or Orn Corn","Dbl Crop WinWht/Soybeans","Caneberries","Garlic","Lettuce","Dbl Crop Soybeans/Oats","Other Small Grains","Dbl Crop Oats/Corn","Dbl Crop Barley/Soybeans","Vetch","Sweet Potatoes","Dbl Crop WinWht/Corn","Cotton","Dbl Crop Barley/Corn","Watermelons","Cantaloupes","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Sorghum","Radishes","Switchgrass","Sugarbeets","Peanuts","Pecans","Aquaculture","Dbl Crop WinWht/Cotton","Dbl Crop Soybeans/Cotton","Rape Seed","Flaxseed","Rice","Olives","Oranges","Citrus","Sugarcane","Walnuts","Celery","Cauliflower","Mint","Camelina","Gourds","Safflower","Mustard","Lentils","Perennial Ice/Snow ","Pistachios","Dbl Crop Lettuce/Cotton","Apricots","Honeydew Melons","Dbl Crop Durum Wht/Sorghum","Almonds","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cantaloupe","Chick Peas","Hops","Pomegranates"
1,1,4107821,25,2796,42,24,364,15467,3,239,14100,1043,706,11272,10646,4924,2147,567,451,97426,61813,171857,20084,56854,41656,1055,245,29,0,0,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,0,192,10,0,30,299,37,863,761,141,17,6,922,156,15,0,18,3882,7497,18557,2823,4325,11590,109,5,3,4,1,4,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,265,38191,2510,844,36501,64106,327,1545,162163,9131,558,117710,63505,36245,12070,6559,8556,900275,1512556,2612593,482361,266431,538551,12980,21806,51,1372,112,0,130,0,0,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,53,5825,169,34,3724,24250,1177,6290,40264,1662,138,11072,28558,10845,2979,1094,1382,177041,138577,499938,51715,70330,142649,2016,147,137,286,67,314,43,0,0,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,183,103,9,3,0,4100,0,223,4733,207,84,26283,9765,5845,2525,821,3871,250613,179439,459427,42448,33719,34720,2583,2,8,0,19,0,0,3,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,23,12932,18,13,12056,24368,608,1698,38995,4637,221,3302,13573,6247,1184,356,745,88731,36804,153238,11652,68511,64765,1803,3500,45,285,183,665,1,0,0,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,9,0,0,0,0,1,0,10,1,23,1,19378,3149,958,115,16,2667,307406,581909,394770,468118,5,132968,5486,0,11,0,0,0,0,0,0,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,38,0,0,0,0,1,0,12,9,1,0,144848,2127,154,46,0,4938,629716,810131,1300875,530775,339,121408,8281,0,13,0,0,0,0,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,166,3007,10,1,41,16252,63,1302,26909,1702,243,160088,14910,7617,2168,354,2444,444861,480778,985246,146080,120087,142964,4918,11,3,1,146,0,4,0,15,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,44,0,0,0,0,3,0,65,8,16,1,25678,385,140,28,0,4427,421441,919190,755469,349923,268,177841,5352,0,25,0,0,0,0,0,3,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
