"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Peas","Clover/Wildflowers","Fallow/Idle Cropland","Apples","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Blueberries","Alfalfa","Sweet Corn","Mustard","Christmas Trees","Squash","Cranberries","HUC","Misc Vegs & Fruits","Sod/Grass Seed","Peppers","Other Crops","Sorghum","Tobacco","Dry Beans","Tomatoes","Peaches","Grapes","Strawberries","Pumpkins","Durum Wheat","Sunflower","Cucumbers","Cabbage","Eggplants","Herbs","Other Tree Crops","Carrots","Greens","Aquaculture","Pears","Dbl Crop WinWht/Soybeans","Triticale","Sweet Potatoes","Onions","Cherries","Garlic","Plums","Dbl Crop WinWht/Corn","Dbl Crop Barley/Corn","Celery","Radishes","Dbl Crop Oats/Corn","Dbl Crop Soybeans/Oats","Nectarines","Asparagus","Speltz","Dbl Crop Barley/Soybeans","Cotton","Peanuts","Millet","Dbl Crop WinWht/Sorghum","Sugarbeets","Watermelons","Switchgrass","Cantaloupes","Lettuce","Rape Seed","Dbl Crop Corn/Soybeans","Dbl Crop Barley/Sorghum","Pop or Orn Corn","Hops","Turnips","Rice","Dbl Crop Soybeans/Cotton","Pecans","Dbl Crop WinWht/Cotton","Flaxseed","Caneberries","Olives","Sugarcane","Citrus","Oranges","Cauliflower","Camelina","Vetch","Walnuts","Gourds","Mint","Apricots","Safflower","Lentils","Perennial Ice/Snow ","Other Small Grains","Pistachios","Dbl Crop Durum Wht/Sorghum","Honeydew Melons","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cotton","Almonds","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Pomegranates"
1,1,4107821,39,451,5835,122,46,1458,13311,3,4844,25,17659,65,2133,37,1,10633,11498,6017,2438,566,890,97806,60680,176367,19945,30095,48180,3999,681,11,0,0,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,2,26,2033,17,0,129,296,0,2327,95,550,0,135,0,0,11,881,135,9,7,4,4614,7947,19371,2284,880,10329,140,5,27,13,0,0,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,266,4438,73287,5513,85,42698,61657,597,15199,278,151788,263,21762,3951,20,118992,65984,38867,12071,6578,8512,879831,1520629,2633035,454600,199603,545009,20728,23683,48,4,20,5,3,0,0,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,569,1422,15588,450,0,5735,17674,1,22757,552,44057,58,1410,118,0,11287,29096,11118,2833,1352,594,197078,141549,490446,50792,34795,134308,5309,629,694,485,0,0,0,20,0,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,145,1,231,1,0,30,4687,3,1929,50,5196,88,236,132,0,25376,11291,6043,2763,880,5011,241786,182536,461604,52125,15767,39586,4194,20,11,8,0,0,0,1,5,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,341,1312,28076,1327,17,9966,13649,5,5427,303,47141,21,5387,119,0,3404,14400,6076,1355,400,250,97141,36949,156581,13549,43930,58576,2022,3245,124,42,0,24,0,0,0,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,34,0,1,0,0,0,6,0,22,0,11,0,0,2,5,18866,3234,919,106,11,3380,321639,564431,394314,457123,10096,137067,5723,0,0,11,0,0,0,0,0,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,3,0,3,0,0,0,24,0,40,0,0,0,0,0,0,146138,2075,183,36,0,4876,615996,803147,1324860,518880,10419,117960,9072,0,0,0,0,0,0,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,137,71,7040,3,2,472,21539,17,19412,1136,26540,198,2691,30,0,157000,18071,9182,2514,419,5067,449722,473827,1000916,154192,59146,144950,7709,261,22,103,0,1,1,0,0,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,20,0,0,0,0,3,24,0,118,0,1,15,1,5,0,27377,348,184,26,0,6481,411638,916288,761878,352067,6788,168416,8629,0,0,0,0,0,0,0,0,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
