"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Rye","Oats","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Clover/Wildflowers","Fallow/Idle Cropland","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Blueberries","Winter Wheat","Christmas Trees","Radishes","Canola","Misc Vegs & Fruits","HUC","Apples","Cranberries","Sorghum","Sweet Corn","Sod/Grass Seed","Dry Beans","Other Crops","Squash","Pumpkins","Triticale","Millet","Cabbage","Gourds","Sunflower","Dbl Crop Corn/Soybeans","Tobacco","Durum Wheat","Tomatoes","Peaches","Grapes","Pears","Peppers","Strawberries","Eggplants","Other Tree Crops","Pop or Orn Corn","Onions","Peas","Plums","Herbs","Carrots","Asparagus","Greens","Other Small Grains","Aquaculture","Lettuce","Caneberries","Dbl Crop Barley/Corn","Walnuts","Dbl Crop WinWht/Corn","Dbl Crop Oats/Corn","Dbl Crop WinWht/Soybeans","Speltz","Cucumbers","Vetch","Cherries","Nectarines","Watermelons","Dbl Crop Barley/Soybeans","Sweet Potatoes","Dbl Crop Soybeans/Oats","Cauliflower","Dbl Crop WinWht/Sorghum","Cotton","Dbl Crop Barley/Sorghum","Turnips","Rape Seed","Cantaloupes","Switchgrass","Sugarbeets","Peanuts","Dbl Crop WinWht/Cotton","Dbl Crop Soybeans/Cotton","Pecans","Rice","Sugarcane","Olives","Oranges","Citrus","Celery","Hops","Camelina","Mint","Apricots","Flaxseed","Mustard","Almonds","Garlic","Safflower","Lentils","Perennial Ice/Snow ","Honeydew Melons","Pistachios","Dbl Crop Lettuce/Cotton","Dbl Crop Durum Wht/Sorghum","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Pomegranates"
1,1,4107821,11,481,2487,51,941,24947,6,5878,275,16252,4874,497,13404,11211,5289,2677,743,467,112644,54018,151046,23459,10044,70786,1122,2224,1,0,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,191,0,575,11,28,846,668,3337,0,176,351,5,18,853,139,9,5,3,3545,5152,19633,1713,323,14499,149,3,0,3,28,4,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,870,4638,47017,4290,48642,102713,623,42662,117,172775,34330,4729,129522,65874,36941,12624,8065,6696,879214,1469855,2537533,382647,58719,810796,11107,35381,2,0,20,834,767,1,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,4984,132,5696,1644,3795,46617,2556,21671,6,35044,3287,509,12109,27867,10695,2858,1221,731,191461,119696,486757,56387,8942,174881,1581,182,20,228,1111,49,59,0,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,16,6,369,69,148,8433,4,7071,474,6638,713,278,29142,10631,6457,2710,1136,3085,240002,187837,472401,29843,11033,40725,2463,51,0,0,1,0,0,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,146,884,16809,1154,14285,30372,362,9128,11,51801,10231,1352,4070,14221,6014,1428,549,297,103499,24208,132758,19120,7216,94302,833,5833,6,0,152,59,59,0,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,39,0,0,0,0,3,25,66,0,0,0,7,20344,3232,973,184,17,2283,336879,705328,389029,255021,7359,191665,4541,6,0,0,0,0,0,0,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,3,0,24,3,0,153,0,196,5,54,7,11,147598,2111,230,55,4,3839,608716,1052897,1323655,217558,20755,166285,9549,1,0,0,3,0,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,57,2,4850,427,318,33811,49,32584,1520,30481,5603,895,164187,18068,9096,2257,534,4578,440117,464429,974115,116190,41073,211880,5029,224,0,0,11,3,0,3,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,9,0,4,0,6,161,26,358,8,15,13,10,29353,325,209,51,0,5285,424305,1071573,742392,186010,15945,178313,5931,0,0,0,5,0,0,0,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
