"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Rye","Oats","Speltz","Canola","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Peas","Herbs","Clover/Wildflowers","Fallow/Idle Cropland","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Triticale","Broccoli","Cauliflower","Blueberries","Other Crops","Radishes","Apples","Christmas Trees","Mustard","HUC","Misc Vegs & Fruits","Carrots","Pumpkins","Sorghum","Sweet Corn","Hops","Sod/Grass Seed","Aquaculture","Tomatoes","Grapes","Peppers","Cabbage","Other Small Grains","Dry Beans","Squash","Dbl Crop WinWht/Corn","Tobacco","Winter Wheat","Durum Wheat","Peaches","Eggplants","Sunflower","Other Tree Crops","Millet","Cranberries","Pears","Dbl Crop Oats/Corn","Onions","Dbl Crop WinWht/Soybeans","Greens","Dbl Crop Barley/Soybeans","Plums","Cherries","Strawberries","Sweet Potatoes","Dbl Crop Barley/Corn","Watermelons","Cotton","Dbl Crop WinWht/Sorghum","Sugarbeets","Cucumbers","Asparagus","Cantaloupes","Nectarines","Switchgrass","Dbl Crop Soybeans/Oats","Pop or Orn Corn","Garlic","Flaxseed","Dbl Crop Corn/Soybeans","Walnuts","Caneberries","Peanuts","Rape Seed","Pecans","Dbl Crop WinWht/Cotton","Rice","Olives","Sugarcane","Oranges","Citrus","Turnips","Camelina","Vetch","Mint","Celery","Gourds","Lentils","Safflower","Perennial Ice/Snow ","Lettuce","Pistachios","Honeydew Melons","Almonds","Dbl Crop Lettuce/Cotton","Chick Peas","Apricots","Pomegranates"
1,1,4107821,106,133,4493,239,8945,10600,1,3,317,5662,10,12386,7,87,7375,5,11481,10836,5530,2730,668,796,94393,66161,162281,26193,19551,61244,1092,442,2065,3,0,0,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,340,0,138,20,1109,122,0,0,1,4245,0,206,0,0,28,0,146,862,118,13,5,7,4181,5940,17999,2283,377,13780,318,0,9,0,20,0,0,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,772,2126,43089,1564,97252,46655,11,1415,6170,59667,0,120332,3,0,56176,24,123627,63416,36498,14098,7003,6722,843283,1481149,2566436,380860,93362,811894,9079,114,36468,640,4,1,94,0,0,0,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,3301,176,6445,1305,21920,19504,0,1,866,40969,0,29972,0,0,4669,0,11063,28402,9803,3395,1209,683,192812,128966,465890,46155,11491,188087,3854,3,841,186,803,3,0,1,1,0,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,6,3,275,1,1919,4851,0,2,11,5609,32,4524,1,0,984,196,29343,10514,6562,2863,1063,3650,243682,175279,481032,34243,9642,43932,1303,113,101,0,0,0,0,0,0,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,978,51,14737,524,35725,11152,129,1,4334,16985,8,36903,0,0,12494,3,2829,14111,5730,1701,400,452,87619,32778,142435,17498,20146,84986,1997,200,3241,763,247,1,1,0,0,0,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20601,3392,912,137,12,2701,338599,740946,369047,237844,822,196015,5949,0,15,0,0,0,0,0,0,0,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,2,0,0,0,3,18,0,0,0,125,0,2,0,0,4,0,150813,2081,239,56,1,4393,632725,1049498,1301491,244106,1777,160864,5505,0,7,0,0,0,0,2,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,79,43,1798,0,2389,28546,4,1,119,32777,1551,21214,45,0,7828,1203,163220,17624,9239,2548,488,8359,432528,450730,1007310,116681,36528,215200,3233,446,338,0,3,0,0,0,0,319,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,0,0,4,0,13,11,0,0,2,188,0,5,0,0,9,0,30939,319,201,66,0,4965,428005,1065020,745156,199976,2133,178037,5225,8,25,0,0,0,0,0,0,0,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
