"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Sugarbeets","Potatoes","Clover/Wildflowers","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Peas","Blueberries","Radishes","HUC","Apples","Sorghum","Millet","Misc Vegs & Fruits","Hops","Sod/Grass Seed","Aquaculture","Tomatoes","Pumpkins","Tobacco","Dry Beans","Other Crops","Triticale","Peppers","Squash","Sunflower","Grapes","Sweet Potatoes","Cucumbers","Herbs","Strawberries","Peaches","Other Tree Crops","Cranberries","Dbl Crop WinWht/Soybeans","Onions","Dbl Crop WinWht/Corn","Pears","Speltz","Dbl Crop Oats/Corn","Plums","Nectarines","Greens","Asparagus","Cantaloupes","Dbl Crop Barley/Soybeans","Cotton","Vetch","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Corn","Rape Seed","Watermelons","Carrots","Lettuce","Dbl Crop Corn/Soybeans","Cabbage","Turnips","Eggplants","Dbl Crop Soybeans/Oats","Pop or Orn Corn","Switchgrass","Cherries","Peanuts","Pecans","Dbl Crop WinWht/Cotton","Rice","Celery","Olives","Sugarcane","Citrus","Oranges","Honeydew Melons","Cauliflower","Camelina","Walnuts","Mint","Gourds","Flaxseed","Durum Wheat","Dbl Crop Soybeans/Cotton","Other Small Grains","Safflower","Lentils","Perennial Ice/Snow ","Pistachios","Caneberries","Apricots","Almonds","Dbl Crop Lettuce/Cantaloupe","Garlic","Dbl Crop Lettuce/Cotton","Dbl Crop Lettuce/Barley","Sweet Corn","Chick Peas","Pomegranates"
1,1,4107821,119,8,5138,12,17,5548,11408,99,20,70,4435,15,395,15771,15374,411,18,11509,10758,5609,2653,663,959,103158,53246,167956,18312,15634,65108,843,569,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,170,0,217,11,17,558,307,0,0,149,4469,7,0,323,340,7,8,154,893,123,11,5,45,3939,5964,17827,1904,261,14512,31,15,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,860,1084,45666,159,255,88208,42736,1254,434,5801,40403,375,97,135621,94167,1050,132,122070,63146,36470,14369,6927,6676,863156,1404425,2638925,343589,94914,830865,7925,18104,125,4,12,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,2168,258,5200,894,293,24961,15381,4,82,1721,39879,201,0,31877,9531,196,1588,11864,27705,10653,3213,1144,1142,181477,129818,473478,43712,9119,192502,902,335,1326,4,148,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,43,3,262,106,3,718,5722,0,17,40,3846,77,8,4190,2888,367,2,28212,10464,6148,3343,1021,3630,258569,192589,459953,30706,12367,34940,1499,3,0,0,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,671,453,11551,46,105,28723,10577,15,78,2687,20291,186,0,38897,24043,690,296,2956,13925,5739,1651,415,690,82855,29055,144499,13988,18579,94881,438,1967,179,0,33,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,21497,3243,1025,181,9,1509,336368,747576,366315,246083,611,189755,2821,0,0,0,0,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,1,0,2,0,0,1,3,0,0,1,95,0,0,4,13,0,10,147914,2074,222,69,1,5566,641211,1098336,1275390,225041,2509,149243,6006,0,0,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,52,2,1448,210,0,1912,23688,38,125,102,36198,1628,56,22816,17193,1448,66,162097,17409,9055,2824,486,4701,445209,446277,1011060,103658,27063,221075,4411,83,0,1,0,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,2,0,0,1,0,0,9,0,0,3,202,0,0,0,13,2,0,28904,309,206,72,0,5733,424601,1081938,739733,192113,2919,180012,3533,0,0,2,0,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
