"layer","zone","Background","Corn","Barley","Spring Wheat","Rye","Oats","Rape Seed","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Misc Vegs & Fruits","Peas","Clover/Wildflowers","Sod/Grass Seed","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Pumpkins","Blueberries","Radishes","Sunflower","Sorghum","Soybeans","Canola","HUC","Apples","Other Crops","Millet","Cranberries","Squash","Tobacco","Cucumbers","Herbs","Grapes","Winter Wheat","Dry Beans","Tomatoes","Peaches","Pears","Strawberries","Other Tree Crops","Cauliflower","Cabbage","Aquaculture","Other Small Grains","Hops","Triticale","Onions","Greens","Dbl Crop WinWht/Corn","Speltz","Dbl Crop WinWht/Soybeans","Sweet Potatoes","Cherries","Plums","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Soybeans","Watermelons","Asparagus","Peppers","Nectarines","Cotton","Peanuts","Sugarbeets","Lettuce","Dbl Crop Barley/Corn","Dbl Crop Corn/Soybeans","Turnips","Eggplants","Pop or Orn Corn","Switchgrass","Cantaloupes","Dbl Crop Soybeans/Oats","Dbl Crop Oats/Corn","Carrots","Walnuts","Dbl Crop WinWht/Cotton","Pecans","Caneberries","Rice","Oranges","Olives","Citrus","Sugarcane","Avocados","Vetch","Flaxseed","Camelina","Celery","Gourds","Mint","Durum Wheat","Safflower","Lentils","Perennial Ice/Snow ","Honeydew Melons","Pistachios","Garlic","Dbl Crop Lettuce/Cotton","Almonds","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Sweet Corn","Chick Peas","Apricots","Pomegranates"
1,1,4107821,128,9375,14,7287,10946,13,1,349,6515,19,16543,2,1097,9506,17,22,1,11377,10899,5544,2422,673,776,110958,48888,156643,28992,14200,59503,1987,1128,3,6,1,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,36,220,10,81,334,0,0,104,5159,0,472,0,0,430,0,0,0,83,836,125,10,5,21,3717,5407,18050,2929,132,13990,108,7,0,0,0,1,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,3248,63498,2845,78558,32056,78,690,13924,64400,0,136464,0,37,46462,9,1897,4,121205,64183,35822,12697,7109,8000,872945,1422567,2517460,446321,81452,815932,17445,40750,25,9,78,58,76,926,774,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,5092,3844,1993,8639,15155,0,5,3229,59108,0,30652,0,1,11480,2,75,116,11347,27890,10346,3038,1133,1352,183149,114712,466805,62854,5559,191438,3018,58,1,14,74,138,0,457,2,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,64,1532,9,653,6136,4,1,120,4107,150,4495,0,29,2020,16,41,1,26991,10335,6236,3073,1064,4771,247947,175621,465590,44708,11803,41764,2287,154,1,7,0,0,6,0,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,542,15049,199,18418,11562,35,27,5348,28158,0,41190,0,5,20585,1,97,7,3014,14024,5725,1453,415,480,92942,25263,140242,20838,11764,86323,1917,3896,7,3,477,50,1,839,263,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,8,0,0,4,0,0,0,1,29,0,0,0,0,1,0,20,0,19648,3427,845,140,16,2411,316121,710700,372399,290266,593,194076,6276,0,0,20,0,0,0,0,0,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,22,1,0,8,12,0,0,0,60,0,8,0,0,11,0,3,0,145462,2104,204,61,2,5413,624346,1049540,1262843,289883,2832,159441,11452,0,0,4,0,0,0,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,153,3174,8,2414,27774,14,9,459,26876,655,27145,1,86,14568,135,107,12,161588,17283,8857,2590,500,5200,440174,430214,973399,150512,36588,224048,7190,624,0,4,0,15,15,0,0,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,14,12,0,17,61,0,1,5,118,0,4,0,0,18,28,0,0,27782,307,228,37,1,4728,420815,1033886,720736,248112,3853,192556,6944,0,0,44,0,0,0,0,0,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
