"layer","zone","Background","Corn","Sorghum","Soybeans","Sunflower","Sweet Corn","Barley","Spring Wheat","Rye","Oats","Millet","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Misc Vegs & Fruits","Peas","Clover/Wildflowers","Sod/Grass Seed","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Pumpkins","Blueberries","Radishes","Turnips","Canola","Apples","Dry Beans","Tobacco","Winter Wheat","Switchgrass","Cabbage","HUC","Cranberries","Grapes","Strawberries","Peaches","Squash","Durum Wheat","Tomatoes","Peppers","Greens","Other Crops","Triticale","Carrots","Herbs","Pears","Dbl Crop Barley/Corn","Sweet Potatoes","Cucumbers","Aquaculture","Onions","Dbl Crop Triticale/Corn","Other Tree Crops","Dbl Crop WinWht/Soybeans","Sugarbeets","Watermelons","Cantaloupes","Plums","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Soybeans","Speltz","Walnuts","Dbl Crop WinWht/Corn","Cherries","Hops","Nectarines","Pop or Orn Corn","Asparagus","Dbl Crop Oats/Corn","Dbl Crop Corn/Soybeans","Eggplants","Cotton","Peanuts","Dbl Crop Soybeans/Oats","Gourds","Mint","Cauliflower","Rape Seed","Rice","Lettuce","Pecans","Dbl Crop WinWht/Cotton","Honeydew Melons","Sugarcane","Citrus","Olives","Oranges","Garlic","Vetch","Avocados","Celery","Other Small Grains","Flaxseed","Safflower","Chick Peas","Lentils","Perennial Ice/Snow ","Camelina","Pistachios","Apricots","Dbl Crop Lettuce/Barley","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Cotton","Almonds","Caneberries","Pomegranates"
1,1,4107821,73,114,1,134,55,7061,55,3804,8846,2,490,383,5913,26,22146,4,10,4840,10,43,2214,11635,7801,6150,4576,1088,337,81044,51781,182254,5348,22388,79953,2767,2457,12,17,3,0,0,0,0,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,158,0,4,0,0,230,68,73,483,0,0,305,3609,0,446,0,1,196,0,13,2,12,1087,263,59,13,30,2756,3447,18786,398,1929,17617,167,5,0,109,0,1,0,0,0,0,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,1071,1344,452,432,366,51121,4211,29304,42574,1,437,36118,82475,64,157186,19,33,21157,11,212,1463,126759,100363,55665,27990,10274,2211,747346,1377931,2708429,101867,146858,1003140,28629,41098,2,248,230,229,674,10,0,0,0,0,0,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,4431,28,313,8,27,568,1200,7436,24872,0,645,5923,53022,89,35515,0,385,1870,0,189,386,11336,31578,13636,6197,1948,938,152401,86725,471940,11283,31402,260834,3907,345,1,1291,67,7,3,3,27,0,0,0,0,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,134,8,0,8,6,1052,11,364,4937,76,14,107,2877,229,7213,18,13,645,10,130,70,28565,17021,9322,6832,1690,1388,226429,186734,466035,23296,29169,41796,5252,239,1,16,0,0,0,5,0,24,0,0,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,1816,19,749,574,6,10158,382,11689,14567,0,386,21971,21690,15,45421,0,152,2951,1,103,193,3225,10872,7742,3465,1079,439,74916,17074,151416,3325,31313,104185,3005,4937,2,684,29,320,36,2,250,0,0,0,0,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,86,0,0,0,3,18,0,14,3,0,0,5,258,1,30,20,0,4,0,2,2,21468,16232,6722,2423,227,820,288545,851887,484220,48624,5244,172688,17445,5,0,1,0,0,0,0,0,0,1,3,0,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,71,0,0,0,1,9,0,20,18,0,4,46,294,1,66,8,0,7,0,1,2,149684,40047,11959,5148,536,843,587467,1148131,1373096,48716,27678,142844,16976,28,0,7,0,0,0,3,0,1,0,0,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,109,38,4,17,28,6565,295,2570,22244,90,350,670,20888,1609,32334,10,45,9214,88,197,756,162240,31622,17222,8540,1292,1275,391774,421223,1022352,54181,71371,265068,15328,700,17,46,2,4,0,4,0,1,0,0,8,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,122,0,0,0,7,8,3,27,38,0,6,13,288,3,173,3,0,4,25,8,10,29513,22924,7275,4588,895,1099,385134,1135289,803910,61414,33858,150078,23544,33,1,5,0,0,0,4,0,2,1,2,0,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
