"layer","zone","Background","Corn","Sorghum","Soybeans","Sunflower","Sweet Corn","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Sugarbeets","Potatoes","Peas","Clover/Wildflowers","Sod/Grass Seed","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Peppers","Blueberries","Cranberries","Dry Beans","Millet","Apples","Peaches","Misc Vegs & Fruits","Other Crops","HUC","Squash","Tobacco","Dbl Crop Barley/Soybeans","Pop or Orn Corn","Grapes","Pears ","Tomatoes","Strawberries","Pumpkins","Aquaculture","Herbs","Carrots","Gourds","Cucumbers","Other Tree Crops","Cabbage","Broccoli","Eggplants","Triticale","Sweet Potatoes","Onions","Dbl Crop WinWht/Soybeans","Watermelons","Cherries","Greens","Plums","Dbl Crop WinWht/Corn","Dbl Crop Triticale/Corn","Dbl Crop Barley/Corn","Turnips","Walnuts","Hops","Cantaloupes","Nectarines","Dbl Crop WinWht/Sorghum","Switchgrass","Asparagus","Dbl Crop Oats/Corn","Dbl Crop Soybeans/Oats","Cotton","Peanuts","Dbl Crop Corn/Soybeans","Safflower","Lettuce","Radishes","Speltz","Cauliflower","Lentils","Rape Seed","Pecans","Dbl Crop WinWht/Cotton","Rice","Honeydew Melons","Olives","Citrus","Oranges","Sugarcane","Vetch","Avocados","Mint","Celery","Garlic","Camelina","Other Small Grains","Flaxseed","Durum Wheat","Chick Peas","Perennial Ice/Snow","Pistachios","Dbl Crop Lettuce/Cotton","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Almonds","Pomegranates","Caneberries","Apricots","Prunes"
1,1,4107821,126,982,6,8,2,4112,21,9,1097,14649,58,3,759,6081,12,88,22415,80,5104,9,390,469,11763,7701,6039,4499,1088,276,85771,50149,178092,5441,27589,77996,2909,1,40,1,0,0,0,0,0,0,"01010009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3985017,167,3,1,2,0,120,0,0,14,922,0,1,36,3634,0,0,933,1,10,0,11,3,29,1079,269,59,13,5,2841,3673,18066,221,1868,17968,296,0,21,0,1,0,0,0,0,0,"01010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,113421,2147,10637,103,1362,10,43307,3202,94,20549,52526,1069,49,45846,78519,63,36,177110,316,40195,13,319,1082,126727,99791,55437,27659,10271,1493,744665,1366027,2696932,94948,155296,1019147,32674,3,362,5,1,8,4,0,0,0,"01010004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,252779,3040,132,360,45,12,529,119,90,2341,32727,66,1382,2014,60295,0,4,37767,142,1500,22,158,380,11421,31500,13690,6134,1948,359,153721,94303,472291,8219,27616,253506,4545,4,276,0,115,2,0,1,0,0,"01010005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,5635460,111,62,0,13,216,243,16,0,135,4402,3,0,163,4079,162,3,7053,15,1746,6,212,26,28185,16963,9286,6806,1690,1028,223206,184179,470856,22096,31758,42132,4758,0,103,3,0,1,2,0,18,0,"01010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2259273,905,238,1635,175,7,9995,1033,51,2618,19620,37,126,30688,22836,4,10,48860,118,3056,5,89,161,3119,10773,7748,3398,1079,201,76006,18137,150222,2679,29709,101853,3683,2,75,0,206,2,0,0,0,0,"01010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1566643,38,0,0,0,2,0,0,1,5,2,0,0,5,283,0,0,30,0,2,2,11,11,21586,16232,6722,2423,227,485,292595,843349,490399,46412,2854,178449,14869,0,4,0,0,0,0,0,0,3,"01010006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,75,1,0,0,6,1,0,0,7,10,0,0,22,301,8,0,151,0,10,0,19,6,150155,40046,11951,5146,539,885,586538,1135860,1378724,53742,25279,148747,15393,0,89,0,0,0,0,0,1,0,"01010002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,0,267,282,2,47,2,2412,94,5,1292,25531,8,0,874,24343,636,4,32507,2146,10592,35,1364,366,161669,31432,17063,8526,1290,1648,390139,420544,1017254,54598,77313,262503,15305,1,269,19,1,4,3,0,1,0,"01010003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1611508,87,2,1,0,22,5,0,1,24,21,0,0,8,387,0,0,86,0,7,1,8,7,29881,22923,7274,4588,896,726,379790,1136487,806120,59196,33713,160191,17843,0,8,0,0,0,0,0,2,2,"01010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
